Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2014;2014;ha;5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1371;Almonds, in shell;2014;2014;kg/ha;1600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2014;2014;t;8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2015;2015;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2015;2015;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2016;2016;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2016;2016;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2017;2017;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2017;2017;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2018;2018;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2018;2018;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2019;2019;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2019;2019;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2020;2020;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2020;2020;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2021;2021;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2021;2021;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1371;Almonds, in shell;2022;2022;ha;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1371;Almonds, in shell;2022;2022;t;0;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2014;2014;ha;5980;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2014;2014;kg/ha;1053.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2014;2014;t;6300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2015;2015;ha;21500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2015;2015;kg/ha;958.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2015;2015;t;20600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2016;2016;ha;1300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2016;2016;kg/ha;961.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2016;2016;t;1250;A;Official figure;
